Bureau of Justice Statistics,,,,,
Filename: rsavcaf9513at5.csv,,,,,
"Appendix table 5. Standard errors for table 4: Location, victim activity, and time of day of the rape/sexual assault victimization among females ages 18 to 24, by post-secondary enrollment status, 1995–2013",,,,,
"Report title: Rape or sexual assault victimization among College-age  females , 1995-2013 NCJ 248471",,,,,
"Data Source:  Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013",,,,,
Author: Sofi Sinozich and Lynn Langton,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,
,,,,,
,,Students,Nonstudents,,
Location where crime occurred,,,,,
,At or near victim’s home,3.9,%,3,%
,At or near home of friend/relative/acquaintance,3.6,,2.1,
,Commercial place/parking lot or garage,2.8,,2,
,School,1.5, !,0.7, !
,Open areas/public transportation/other,2.6,,2,
Activity when crime occurred,,,,,
,Traveling to or from other place/shopping or errands/leisure activity away from home,4.1,%,2.6,%
,Sleeping/other activities at home,3.7,,2.9, 
,Working or traveling to work,2.2, !,2,
,Attending school or traveling to school,1.7, !,0.8, !
,Other/unknown,1.3, !,1,
Time of day,,,,,
,Daytime (6 a.m. – 6 p.m.),3.7,%,2.8,%
,Night (6 a.m. – 6 p.m.),3.9,,2.9,
,Unknown,1.2, !,0.6, !
"! Interpret with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%. ",,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013.",,,,,
