Bureau of Justice Statistics,,,,,,,
Filename: rsavcaf9513at6.csv,,,,,,,
"Appendix table 6. Standard errors for table 5: Presence of weapon and injury to victim in rape or sexual assault victimizations against females ages 18 to 24, by enrollment status, 1995–2013",,,,,,,
"Report title: Rape or sexual assault victimization among College-age  females , 1995-2013 NCJ 248471",,,,,,,
"Data Source:  Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013",,,,,,,
Author: Sofi Sinozich and Lynn Langton,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
 ,,,,,,,
"Appendix table 6. Standard errors for table 5: Presence of weapon and injury to victim in rape or sexual assault victimizations against females ages 18 to 24, by enrollment status, 1995–2013",,,,,,,
,,,,Students,,Nonstudents,
Involving weapons,,,,,,,
,No weapon,,,3.2,%,2.2,%
,Weapon,,,2.4, !,1.8,
,Don’t know,,,2,,1.1,
Involving injuries,,,,,,,
,No injury,,,4,%,2.9,%
,Injury,,,4,,2.8,
,,Treatment for injuries,,,,,
,,,No treatment,4,%,2.9,%
,,,Any treatment,3.9,,2.8,
"! Interpret with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%.",,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013.",,,,,,,
