Bureau of Justice Statistics,,,,,
Filename: rsavcaf9513at8.csv,,,,,
"Appendix table 8. Standard errors for table 7: Perceived offender characteristics in rape and sexual assault victimizations against females ages 18 to 24, by post-secondary enrollment status, 1995–2013",,,,,
"Report title: Rape or sexual assault victimization among College-age  females , 1995-2013 NCJ 248471",,,,,
"Data Source:  Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013",,,,,
Author: Sofi Sinozich and Lynn Langton,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,
 ,,,,,
"Appendix table 8. Standard errors for table 7: Perceived offender characteristics in rape and sexual assault victimizations against females ages 18 to 24, by post-secondary enrollment status, 1995–2013",,,,,
,,Students,,Nonstudents,
Number of offenders,,,,,
,One,1.9,%,1.7,%
,Two or more,1.6, !,1.1,
,Unknown,~,,1, !
Age,,,,,
,18–20,2.9,%,1.9,%
,21–29,4.1,,3,
,30 or older,3.3,,2.4,
,Other mixed group,1, !,0.8,
,Unknown,1.9,,1.3,
Sex,,,,,
,Male,1.4,%,1.7,%
,Female,0.6, !,0.9, !
,Mixed group/unknown,0.9, !,1.2, !
Race,,,,,
,White,3.9,%,2.9,%
,Black,3.1,,2.4,
,Other/mixed group,2.3,,1.8,
,Unknown,2,,1.3,
Alcohol/drug use,,,,,
,Yes,4,%,2.9,%
,No,3.4,,2.8,
,Don't know/unknown,3.6,,2.4,
~Not applicable. ,,,,,
"! Interpret with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%.",,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013",,,,,
