Filename: rsavcaf9513at9.csv,,,,,,
"Appendix table 9. Standard errors for figure 1 and 8: Rape or sexual assault victimizations against females ages 18 to 24 reported and not reported to police and reasons for not reporting, by post-secondary enrollment status, 1995–2013",,,,,,
"Report title: Rape or sexual assault victimization among College-age  females , 1995-2013 NCJ 248471",,,,,,
"Data Source:  Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013",,,,,,
Author: Sofi Sinozich and Lynn Langton,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,
,,,,,,
"Appendix table 9. Standard errors for figure 1 and 8: Rape or sexual assault victimizations against females ages 18 to 24 reported and not reported to police and reasons for not reporting, by post-secondary enrollment status, 1995–2013",,,,,,
,,,Students,,Nonstudents,
Reported,,,3.1,%,3.7,%
Not reported,,,2.4,%,2.8,%
,Reason for not reporting,,,,,
,,Reported to different official,1.5, !,2.3,
,,Personal matter,3.8,,2.9,
,,Not important enough to respondent,2.7,,1.4,
,,Police would or could not do anything to help,2.4,,2.6,
,,Did not want to get offender in trouble with law,2.6,,1.9,
,,Advised not to report,~, !,0.6, !
,,Fear of reprisal,3.5,,2.7,
,,Other reason,4.1,,3.3,
~Not applicable.,,,,,,
"! Interpret with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%. ",,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013.",,,,,,
