Bureau of Justice Statistics,
Filename: rsavcaf9513at12.csv,
"Appendix table 12. Standard errors for table 11: Number of female students ages 18 to 24 enrolled in post-secondary institutions according to the NCVS and NCES, 1997–2011",
"Report title: Rape or sexual assault victimization among College-age  females , 1995-2013 NCJ 248471",
"Data Source:  Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013",
Author: Sofi Sinozich and Lynn Langton,
Refer questions to: askbjs@usdoj.gov   202-307-0765,
,
"Appendix table 12. Standard errors for table 11: Number of female students ages 18 to 24 enrolled in post-secondary institutions according to the NCVS and NCES, 1997–2011",
Year,National Crime Victimization Survey
1997,"204,417"
1998,"185,721"
1999,"237,939"
2000,"205,519"
2001,"245,489"
2002,"294,786"
2003,"235,086"
2004,"269,608"
2005,"272,300"
2006,"260,057"
2007,"240,618"
2008,"234,551"
2009,"233,346"
2010,"243,656"
2011,"259,479"
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1997–2011.",
