Bureau of Justice Statistics,
Filename: rsavcaf9513f1.csv,
"Figure 1. Rape or sexual assault victimizations against females ages 18 to 24 reported to police, by post-secondary enrollment status, 1995–2013",
"Report title: Rape or sexual assault victimization among College-age  females , 1995-2013 NCJ 248471",
"Data Source:  Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013",
Author: Sofi Sinozich and Lynn Langton,
Refer questions to: askbjs@usdoj.gov   202-307-0765,
,
"Figure 1. Rape or sexual assault victimizations against females ages 18 to 24 reported to police, by post-secondary enrollment status, 1995–2013",
,
,Reported/c
Student,20
non Student,32
"Note: Includes only reports to the police, not to other officials or administrators. See table 8 for estimates and appendix table 9 for standard errors. ",
"a/Includes female victims ages 18 to 24 enrolled part time or full time in a post-secondary institution (i.e., college or university, trade school, or vocational school).",
b/Includes female victims ages 18 to 24 not enrolled in a post-secondary institution.,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013.",
