Bureau of Justice Statistics,,,,,,,,,,
Filename: rsavcaf9513t03.csv,,,,,,,,,,
"Table 3. Rape and sexual assault victimization, by sex of victim and post-secondary enrollment status, 1995–2013",,,,,,,,,,
"Report title: Rape or sexual assault victimization among College-age  females , 1995-2013 NCJ 248471",,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013.",,,,,,,,,,
Author: Sofi sinozich and Lynn Langton,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,
Date of version: 12/9/2014,,,,,,,,,,
 ,,,,,,,,,,
"Table 3. Rape and sexual assault victimization, by sex of victim and post-secondary enrollment status, 1995–2013",,,,,,,,,,
,,Students/a,,,,Nonstudents/b,,,,
,,,,,Average annual,Percent of,,,,Ratio of nonstudent 
Sex of victim,Average annual number,Percent of victimizations,,Rate/c, number, victimizations ,,Rate/c,,to student rate
Male,"6,544",17,%,1.4,"2,866",4,% †,0.3, †,0.2
Female,"31,302",83,,6.1,"65,668",96, †,7.6, †,1.2
Note: Excludes a small percentage of victims with unknown enrollment status (less than 1%). See appendix table 4 for standard errors. ,,,,,,,,,,
† Nonstudent estimates are significantly different from student estimates at the 95% confidence level.,,,,,,,,,,
"a/Includes victims ages 18 to 24 enrolled part time or full time in a post-secondary institution (i.e., college or university, trade school, or vocational school).",,,,,,,,,,
b/Includes victims ages 18 to 24 not enrolled in a post-secondary institution.,,,,,,,,,,
"c/Per 1,000 persons ages 18 to 24.",,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013.",,,,,,,,,,
