Bureau of Justice Statistics,,,,,,,
Filename: rsavcaf9513t07.csv,,,,,,,
"Table 7. Perceived offender characteristics in rape and sexual assault victimizations against females ages 18 to 24, by post-secondary enrollment status of victim, 1995–2013",,,,,,,
"Report title: Rape or sexual assault victimization among College-age  females , 1995-2013 NCJ 248471",,,,,,,
"Data Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013.",,,,,,,
Author: Sofi Sinozich and Lynn Langton,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,
Date of version: 12/9/2014,,,,,,,
 ,,,,,,,
"Table 7. Perceived offender characteristics in rape and sexual assault victimizations against females ages 18 to 24, by post-secondary enrollment status of victim, 1995–2013",,,,,,,
Offender characteristic,,,,Students/a,,Nonstudents/b,
Number of offenders,,,,,,,
,One,,,95,%,92,%
,Two or more,,,5, !,5,
,Unknown,,,--, !,3, !
Age/c,,,,,,,
,18–20,,,17,%,13,%
,21–29,,,51,,53,
,30 or older,,,23,,23,
,Mixed group,,,2, !,3,
,Unknown,,,7,,7,
Sex,,,,,,,
,Male,,,97,%,91,% †
,Female,,,1, !,3, ! †
,Mixed group/unknown,,,2, !,5, ! †
Race/d,,,,,,,
,White,,,63,%,60,%
,Black,,,19,,22,
,Other/mixed group/e,,,10,,12,
,Unknown,,,8,,7,
Alcohol/drug use,,,,,,,
,Yes,,,47,%,40,%
,No,,,25,,36, †
,Don’t know/unknown,,,28,,24,
Note: See appendix table 8 for standard errors.  ,,,,,,,
--Less than 0.5%. ,,,,,,,
"! Interpret with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%. ",,,,,,,
†Nonstudent estimates are significantly different from student estimates at the 95% confidence level.,,,,,,,
"a/Includes female victims ages 18 to 24 enrolled part time or full time in a post-secondary institution (i.e., college or university, trade school, or vocational school).",,,,,,,
b/Includes female victims ages 18 to 24 not enrolled in a post-secondary institution.,,,,,,,
c/Detail may not sum to total due to small portion of offenders age 17 or younger.,,,,,,,
"d/Prior to 2012, victims were not asked about perceived Hispanic origin of offenders, so Hispanic offenders make up an unknown portion of the white, black, and other race of offender categories.",,,,,,,
"e/American Indian, Alaska Native, Asian, Native Hawaiian, and other Pacific Islander, persons of two or more races, and mixed groups that may include persons of any race. ",,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013.",,,,,,,
