Bureau of Justice Statistics,,,,,,,,
Filename: rsavcaf9513t08.csv,,,,,,,,
"Table 8. Rape or sexual assault victimizations against females ages 18 to 24 reported and not reported to police and reasons for not reporting, by post-secondary enrollment status, 1995–2013",,,,,,,,
"Report title: Rape or sexual assault victimization among College-age  females , 1995-2013 NCJ 248471",,,,,,,,
"Data Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013.",,,,,,,,
Author: Sofi Sinozich and Lynn Langton,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,
Date of version: 12/9/2014,,,,,,,,
,,,,,,,,
"Table 8. Rape or sexual assault victimizations against females ages 18 to 24 reported and not reported to police and reasons for not reporting, by post-secondary enrollment status, 1995–2013",,,,,,,,
,,,,,Students/a,,Nonstudents/b,
Reported/c,,,,,20,%,32,% †
Not reported,,,,,80,%,67,% †
,Reason for not reporting,,,,,,,
,,Reported to different official,,,4,% !,14,% †
,,Personal matter,,,26,,23,
,,Not important enough to respondent,,,12,,5, †
,,Police would not or could not do anything to help,,,9,,19, †
,,Did not want to get offender in trouble with law,,,10,,10,
,,Advised not to report,,,--, !,1, !
,,Fear of reprisal,,,20,,20,
,,Other reason,,,31,,35,
Note: Detail may not sum to total due to multiple reasons for not reporting. About 0.4% of student and 0.6% of nonstudent victims did not know or did not report whether the victimization was reported to police. See appendix table 9 for standard errors.,,,,,,,,
--Less than 0.5%.,,,,,,,,
"! Interpret with caution; estimate based on 10 or fewer sample cases, or coefficient of variation is greater than 50%.",,,,,,,,
†Nonstudent estimates are significantly different from student estimates at the 95% confidence level.,,,,,,,,
"a/Includes female victims ages 18 to 24 enrolled part time or full time in a post-secondary institution (i.e., college or university, trade school, or vocational school).",,,,,,,,
b/Includes female victims ages 18 to 24 not enrolled in a post-secondary institution.,,,,,,,,
"c/Includes only reports to the police, not to other officials or administrators. The NCVS does not collect information on victim reporting to parties other than law enforcement.",,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013.",,,,,,,,
