Bureau of Justice Statistics,,,,,,
Filename: rsavcaf9513t09.csv,,,,,,
"Table 9. Receipt of assistance from a victim service agency among female rape or sexual assault victims ages 18 to 24, by post-secondary enrollment status, 1995–2013",,,,,,
"Report title: Rape or sexual assault victimization among College-age  females , 1995-2013 NCJ 248471",,,,,,
"Data Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013.",,,,,,
Author: Sofi Sinozich and Lynn Langton,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,
,,,,,,
"Table 9. Receipt of assistance from a victim service agency among female rape or sexual assault victims ages 18 to 24, by post-secondary enrollment status, 1995–2013",,,,,,
,,,Students/a,,Nonstudents/b,
Received assistance,,,16,%,18,%
Did not receive assistance,,,83,,82,
Note: Detail does not sum to total due to a small percentage of victims who did not know whether assistance was received. Excludes a small percentage of female victims ages 18 to 24 with unknown enrollment status (less than 1%). See appendix table 10 for standard errors. ,,,,,,
"a/Includes female victims ages 18 to 24 enrolled part time or full time in a post-secondary institution (i.e., college or university, trade school, or vocational school).",,,,,,
b/Includes female victims ages 18 to 24 not enrolled in a post-secondary institution.,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1995–2013.",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1Z8996EV4200289088 ,,,,,,
